image,xmin,ymin,xmax,ymax,label
20200612_103505.jpg,1088.460432,115.9361022,2248.748201,850.1980831,infected
20200612_103505.jpg,60.77697842,2847.335463,823.2517986,3456,infected
20200612_103505.jpg,618.8201439,1699.015974,618.8201439,1699.015974,infected
20200612_103536.jpg,1077.410072,9.661341853,2154.820144,694.2364217,infected
20200612_103536.jpg,663.0215827,2229.009585,1000.057554,2532.651757,infected
20200612_103536.jpg,132.6043165,550.6964856,447.5395683,727.3610224,infected
20200612_103536.jpg,0,2681.71246,370.1870504,3456,infected
20200612_103531.jpg,0,2561.635783,513.8417266,3432.536741,infected
20200612_103531.jpg,861.9280576,2068.907348,1138.18705,2350.466454,infected
20200612_103531.jpg,1309.467626,0,2364.776978,501.0095847,infected
20200612_103610.jpg,3497.438849,799.1309904,4237.81295,1102.773163,infected
20200612_103610.jpg,1928.28777,915.0670927,2922.820144,1207.667732,infected
20200612_103610.jpg,1143.71223,1008.920128,1922.76259,1389.853035,infected
20200612_103610.jpg,1524.94964,1479.565495,2580.258993,1788.728435,infected
20200612_103610.jpg,1563.625899,1814.952077,2839.942446,2251.092652,infected
20200612_103605.jpg,1419.971223,440.2811502,2337.151079,661.1118211,infected
20200612_103605.jpg,1226.589928,915.0670927,2193.496403,1875.680511,infected
20200612_103605.jpg,2370.302158,1560.996805,2889.669065,2057.865815,infected
20200612_103629.jpg,1182.388489,219.4504792,1823.309353,992.3578275,infected
20200612_103629.jpg,1497.323741,1494.747604,2768.115108,2041.303514,infected
20200612_103629.jpg,2127.194245,2223.488818,3259.856115,3456,infected
20200612_103624.jpg,1326.043165,1130.376997,1933.81295,1649.329073,infected
20200612_103624.jpg,1701.755396,2262.134185,2967.021583,3145.456869,infected
20200612_103632.jpg,2082.992806,2251.092652,3320.633094,3351.105431,infected
20200612_103632.jpg,1541.52518,1384.332268,2757.064748,1930.888179,infected
20200612_103632.jpg,1171.338129,274.658147,1839.884892,870.9009585,infected
20200612_103650.jpg,2525.007194,1450.58147,3221.179856,2521.610224,infected
20200612_103650.jpg,5.525179856,3001.916933,563.5683453,3456,infected
20200612_103614.jpg,3414.561151,848.8178914,3773.697842,1334.645367,infected
20200612_103652.jpg,1652.028777,1301.520767,3016.748201,1991.616613,infected
20200612_103652.jpg,3088.57554,120.0766773,3956.028777,390.5942492,infected
20200612_103652.jpg,1077.410072,1649.329073,1491.798561,2609.942492,infected
20200612_103922.jpg,3160.402878,1069.648562,3657.669065,1715.578275,infected
20200612_103922.jpg,1790.158273,1312.5623,2442.129496,1925.367412,infected
20200612_103922.jpg,1000.057554,1583.079872,1596.776978,2267.654952,infected
20200612_103926.jpg,3817.899281,1031.003195,4204.661871,1516.830671,infected
20200612_103926.jpg,2817.841727,1428.498403,3094.100719,1660.370607,infected
20200612_103926.jpg,2884.143885,1699.015974,3375.884892,1897.763578,infected
20200612_103926.jpg,2425.553957,1997.13738,2812.316547,2162.760383,infected
20200612_103926.jpg,878.5035971,285.6996805,1060.834532,567.2587859,infected
20200612_103926.jpg,1132.661871,26.22364217,1458.647482,489.9680511,infected
20200612_103924.jpg,1989.064748,1036.523962,2585.784173,1693.495208,infected
20200612_103924.jpg,3315.107914,788.0894569,3768.172662,1406.415335,infected
20200612_103924.jpg,977.9568345,1395.373802,1668.604317,1766.645367,infected
20200612_103924.jpg,1171.338129,1825.99361,1856.460432,2383.591054,infected
20200612_103912.jpg,1779.107914,677.6741214,2193.496403,1301.520767,infected
20200612_103912.jpg,2585.784173,1036.523962,3143.827338,1759.744409,infected
20200612_103912.jpg,2326.100719,1549.955272,2569.208633,1770.785942,infected
20200612_103929.jpg,2519.482014,1997.13738,2690.76259,2736.920128,infected
20200612_103929.jpg,2839.942446,2090.990415,3381.410072,2488.485623,infected
20200612_103929.jpg,1657.553957,1710.057508,1922.76259,2367.028754,infected
20200612_103929.jpg,3723.971223,688.715655,4248.863309,870.9009585,infected
20200612_103953.jpg,3967.079137,3106.811502,4171.510791,3338.683706,infected
20200612_103953.jpg,2591.309353,2140.677316,2718.388489,2262.134185,infected
20200612_103953.jpg,3663.194245,2090.990415,3795.798561,2229.009585,infected
